GO:0000001	mitochondrion inheritance
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
GO:0000378	RNA exon ligation
GO:0000379	tRNA-type intron splice site recognition and cleavage
GO:0000380	alternative mRNA splicing, via spliceosome
GO:0000381	regulation of alternative mRNA splicing, via spliceosome
GO:0000384	first spliceosomal transesterification activity
GO:0000386	second spliceosomal transesterification activity
GO:0000387	spliceosomal snRNP assembly
GO:0000388	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)
GO:0000389	mRNA 3'-splice site recognition
GO:0000390	spliceosomal complex disassembly
GO:0000393	spliceosomal conformational changes to generate catalytic conformation
GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation
GO:0000395	mRNA 5'-splice site recognition
GO:0000398	mRNA splicing, via spliceosome
GO:0000399	cellular bud neck septin structure
GO:0000400	four-way junction DNA binding
GO:0000402	crossed form four-way junction DNA binding
GO:0000403	Y-form DNA binding
GO:0000404	heteroduplex DNA loop binding
GO:0000405	bubble DNA binding
GO:0000406	double-strand/single-strand DNA junction binding
GO:0000407	phagophore assembly site
GO:0000408	EKC/KEOPS complex
GO:0000409	regulation of transcription by galactose
GO:0000411	positive regulation of transcription by galactose
GO:0000412	histone peptidyl-prolyl isomerization
GO:0000413	protein peptidyl-prolyl isomerization
GO:0000414	regulation of histone H3-K36 methylation
GO:0000415	negative regulation of histone H3-K36 methylation
GO:0000416	positive regulation of histone H3-K36 methylation
GO:0000417	HIR complex
GO:0000418	RNA polymerase IV complex
GO:0000419	RNA polymerase V complex
GO:0000421	autophagosome membrane
GO:0000422	autophagy of mitochondrion
GO:0000423	mitophagy
GO:0000427	plastid-encoded plastid RNA polymerase complex
GO:0000428	DNA-directed RNA polymerase complex
GO:0000429	carbon catabolite regulation of transcription from RNA polymerase II promoter
GO:0000430	regulation of transcription from RNA polymerase II promoter by glucose
GO:0000431	regulation of transcription from RNA polymerase II promoter by galactose
GO:0000432	positive regulation of transcription from RNA polymerase II promoter by glucose
GO:0000433	carbon catabolite repression of transcription from RNA polymerase II promoter by glucose
GO:0000435	positive regulation of transcription from RNA polymerase II promoter by galactose
GO:0000436	carbon catabolite activation of transcription from RNA polymerase II promoter
GO:0000437	carbon catabolite repression of transcription from RNA polymerase II promoter
GO:0000438	core TFIIH complex portion of holo TFIIH complex
GO:0000439	transcription factor TFIIH core complex
GO:0000444	MIS12/MIND type complex
GO:0000445	THO complex part of transcription export complex
GO:0000446	nucleoplasmic THO complex
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000448	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000451	rRNA 2'-O-methylation
GO:0000453	enzyme-directed rRNA 2'-O-methylation
GO:0000454	snoRNA guided rRNA pseudouridine synthesis
GO:0000455	enzyme-directed rRNA pseudouridine synthesis
GO:0000459	exonucleolytic trimming involved in rRNA processing
GO:0000460	maturation of 5.8S rRNA
GO:0000461	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000464	endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000465	exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000469	cleavage involved in rRNA processing
GO:0000470	maturation of LSU-rRNA
GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000478	endonucleolytic cleavage involved in rRNA processing
GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000481	maturation of 5S rRNA
GO:0000488	maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)
GO:0000489	maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)
GO:0000491	small nucleolar ribonucleoprotein complex assembly
GO:0000492	box C/D snoRNP assembly
GO:0000493	box H/ACA snoRNP assembly
GO:0000494	box C/D snoRNA 3'-end processing
GO:0000495	box H/ACA snoRNA 3'-end processing
GO:0000500	RNA polymerase I upstream activating factor complex
GO:0000501	flocculation via cell wall protein-carbohydrate interaction
GO:0000502	proteasome complex
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
GO:0000578	embryonic axis specification
GO:0000700	mismatch base pair DNA N-glycosylase activity
GO:0000701	purine-specific mismatch base pair DNA N-glycosylase activity
GO:0000702	oxidized base lesion DNA N-glycosylase activity
GO:0000703	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity
GO:0000705	achiasmate meiosis I
GO:0000706	meiotic DNA double-strand break processing
GO:0000707	meiotic DNA recombinase assembly
GO:0000709	meiotic joint molecule formation
GO:0000710	meiotic mismatch repair
GO:0000711	meiotic DNA repair synthesis
GO:0000712	resolution of meiotic recombination intermediates
GO:0000713	meiotic heteroduplex formation
GO:0000714	meiotic strand displacement
GO:0000715	nucleotide-excision repair, DNA damage recognition
GO:0000716	transcription-coupled nucleotide-excision repair, DNA damage recognition
GO:0000717	nucleotide-excision repair, DNA duplex unwinding
GO:0000719	photoreactive repair
GO:0000720	pyrimidine dimer repair by nucleotide-excision repair
GO:0000721	(R,R)-butanediol dehydrogenase activity
GO:0000722	telomere maintenance via recombination
GO:0000723	telomere maintenance
GO:0000724	double-strand break repair via homologous recombination
GO:0000725	recombinational repair
GO:0000726	non-recombinational repair
GO:0000727	double-strand break repair via break-induced replication
GO:0000728	gene conversion at mating-type locus, DNA double-strand break formation
GO:0000729	DNA double-strand break processing
GO:0000730	DNA recombinase assembly
GO:0000731	DNA synthesis involved in DNA repair
GO:0000732	strand displacement
GO:0000733	DNA strand renaturation
GO:0000734	gene conversion at mating-type locus, DNA repair synthesis
GO:0000735	removal of nonhomologous ends
GO:0000736	double-strand break repair via single-strand annealing, removal of nonhomologous ends
GO:0000737	DNA catabolic process, endonucleolytic
GO:0000738	DNA catabolic process, exonucleolytic
GO:0000740	nuclear membrane fusion
GO:0000741	karyogamy
GO:0000742	karyogamy involved in conjugation with cellular fusion
GO:0000743	nuclear migration involved in conjugation with cellular fusion
GO:0000746	conjugation
GO:0000747	conjugation with cellular fusion
GO:0000749	response to pheromone triggering conjugation with cellular fusion
GO:0000750	pheromone-dependent signal transduction involved in conjugation with cellular fusion
GO:0000751	mitotic cell cycle G1 arrest in response to pheromone
GO:0000752	agglutination involved in conjugation with cellular fusion
GO:0000753	cell morphogenesis involved in conjugation with cellular fusion
GO:0000754	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
GO:0000755	cytogamy
GO:0000767	cell morphogenesis involved in conjugation
GO:0000768	syncytium formation by plasma membrane fusion
GO:0000769	syncytium formation by mitosis without cytokinesis
GO:0000770	peptide pheromone export
GO:0000771	agglutination involved in conjugation
GO:0000772	mating pheromone activity
GO:0000773	phosphatidyl-N-methylethanolamine N-methyltransferase activity
GO:0000774	adenyl-nucleotide exchange factor activity
GO:0000775	chromosome, centromeric region
GO:0000776	kinetochore
GO:0000777	condensed chromosome kinetochore
GO:0000778	condensed nuclear chromosome kinetochore
GO:0000779	condensed chromosome, centromeric region
GO:0000780	condensed nuclear chromosome, centromeric region
GO:0000781	chromosome, telomeric region
GO:0000782	telomere cap complex
GO:0000783	nuclear telomere cap complex
GO:0000784	nuclear chromosome, telomeric region
GO:0000785	chromatin
GO:0000786	nucleosome
GO:0000788	nuclear nucleosome
GO:0000789	cytoplasmic chromatin
GO:0000790	nuclear chromatin
GO:0000791	euchromatin
GO:0000792	heterochromatin
GO:0000793	condensed chromosome
GO:0000794	condensed nuclear chromosome
GO:0000795	synaptonemal complex
GO:0000796	condensin complex
GO:0000798	nuclear cohesin complex
GO:0000799	nuclear condensin complex
GO:0000800	lateral element
GO:0000801	central element
GO:0000802	transverse filament
GO:0000803	sex chromosome
GO:0000805	X chromosome
GO:0000806	Y chromosome
GO:0000808	origin recognition complex
GO:0000810	diacylglycerol diphosphate phosphatase activity
GO:0000811	GINS complex
GO:0000812	Swr1 complex
GO:0000813	ESCRT I complex
GO:0000814	ESCRT II complex
GO:0000815	ESCRT III complex
GO:0000817	COMA complex
GO:0000818	nuclear MIS12/MIND complex
GO:0000819	sister chromatid segregation
GO:0000820	regulation of glutamine family amino acid metabolic process
GO:0000821	regulation of arginine metabolic process
GO:0000822	inositol hexakisphosphate binding
GO:0000823	inositol-1,4,5-trisphosphate 6-kinase activity
GO:0000824	inositol tetrakisphosphate 3-kinase activity
GO:0000825	inositol tetrakisphosphate 6-kinase activity
GO:0000827	inositol-1,3,4,5,6-pentakisphosphate kinase activity
GO:0000828	inositol hexakisphosphate kinase activity
GO:0000829	inositol heptakisphosphate kinase activity
GO:0000830	inositol hexakisphosphate 4-kinase activity
GO:0000831	inositol hexakisphosphate 6-kinase activity
GO:0000832	inositol hexakisphosphate 5-kinase activity
GO:0000835	ER ubiquitin ligase complex
GO:0000836	Hrd1p ubiquitin ligase complex
GO:0000837	Doa10p ubiquitin ligase complex
GO:0000838	Hrd1p ubiquitin ligase ERAD-M complex
GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex
GO:0000900	translation repressor activity, mRNA regulatory element binding
GO:0000902	cell morphogenesis
GO:0000904	cell morphogenesis involved in differentiation
GO:0000905	sporocarp development involved in asexual reproduction
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity
GO:0000907	sulfonate dioxygenase activity
GO:0000908	taurine dioxygenase activity
GO:0000909	sporocarp development involved in sexual reproduction
GO:0000910	cytokinesis
GO:0000911	cytokinesis by cell plate formation
GO:0000912	assembly of actomyosin apparatus involved in cytokinesis
GO:0000913	preprophase band assembly
GO:0000914	phragmoplast assembly
GO:0000915	actomyosin contractile ring assembly
GO:0000916	actomyosin contractile ring contraction
GO:0000917	division septum assembly
GO:0000918	division septum site selection
GO:0000919	cell plate assembly
GO:0000920	septum digestion after cytokinesis
GO:0000921	septin ring assembly
GO:0000922	spindle pole
GO:0000923	equatorial microtubule organizing center
GO:0000924	gamma-tubulin ring complex, centrosomal
GO:0000928	gamma-tubulin small complex, spindle pole body
GO:0000930	gamma-tubulin complex
GO:0000931	gamma-tubulin large complex
GO:0000932	P-body
GO:0000935	division septum
GO:0000936	primary cell septum
GO:0000938	GARP complex
GO:0000939	condensed chromosome inner kinetochore
GO:0000940	condensed chromosome outer kinetochore
GO:0000941	condensed nuclear chromosome inner kinetochore
GO:0000942	condensed nuclear chromosome outer kinetochore
GO:0000943	retrotransposon nucleocapsid
GO:0000947	amino acid catabolic process to alcohol via Ehrlich pathway
GO:0000949	aromatic amino acid family catabolic process to alcohol via Ehrlich pathway
GO:0000950	branched-chain amino acid catabolic process to alcohol via Ehrlich pathway
GO:0000951	methionine catabolic process to 3-methylthiopropanol
GO:0000955	amino acid catabolic process via Ehrlich pathway
GO:0000956	nuclear-transcribed mRNA catabolic process
GO:0000957	mitochondrial RNA catabolic process
GO:0000958	mitochondrial mRNA catabolic process
GO:0000959	mitochondrial RNA metabolic process
GO:0000960	regulation of mitochondrial RNA catabolic process
GO:0000961	negative regulation of mitochondrial RNA catabolic process
GO:0000962	positive regulation of mitochondrial RNA catabolic process
GO:0000963	mitochondrial RNA processing
GO:0000964	mitochondrial RNA 5'-end processing
GO:0000965	mitochondrial RNA 3'-end processing
GO:0000966	RNA 5'-end processing
GO:0000967	rRNA 5'-end processing
GO:0000968	tRNA exon ligation
GO:0000971	tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate
GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0000973	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0000974	Prp19 complex
GO:0000976	transcription regulatory region sequence-specific DNA binding
GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding
GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding
GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding
GO:0000980	RNA polymerase II distal enhancer sequence-specific DNA binding
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0000984	bacterial-type RNA polymerase regulatory region sequence-specific DNA binding
GO:0000986	bacterial-type proximal promoter sequence-specific DNA binding
GO:0000987	proximal promoter sequence-specific DNA binding
GO:0000992	polymerase III regulatory region sequence-specific DNA binding
GO:0000993	RNA polymerase II complex binding
GO:0000994	RNA polymerase III core binding
GO:0000995	RNA polymerase III general transcription initiation factor activity
GO:0001000	bacterial-type RNA polymerase core enzyme binding
GO:0001002	RNA polymerase III type 1 promoter sequence-specific DNA binding
GO:0001003	RNA polymerase III type 2 promoter sequence-specific DNA binding
GO:0001004	RNA polymerase III transcription regulator recruiting activity
GO:0001006	RNA polymerase III type 3 promoter sequence-specific DNA binding
GO:0001010	RNA polymerase II sequence-specific DNA-binding transcription factor recruiting activity
GO:0001012	RNA polymerase II regulatory region DNA binding
GO:0001013	RNA polymerase I regulatory region DNA binding
GO:0001015	snoRNA transcription by RNA polymerase II
GO:0001016	RNA polymerase III regulatory region DNA binding
GO:0001017	bacterial-type RNA polymerase regulatory region DNA binding
GO:0001018	mitochondrial promoter sequence-specific DNA binding
GO:0001025	RNA polymerase III general transcription initiation factor binding
GO:0001030	RNA polymerase III type 1 promoter DNA binding
GO:0001031	RNA polymerase III type 2 promoter DNA binding
GO:0001032	RNA polymerase III type 3 promoter DNA binding
GO:0001042	RNA polymerase I core binding
GO:0001046	core promoter sequence-specific DNA binding
GO:0001047	core promoter binding
GO:0001054	RNA polymerase I activity
GO:0001055	RNA polymerase II activity
GO:0001056	RNA polymerase III activity
GO:0001067	regulatory region nucleic acid binding
GO:0001068	transcription regulatory region RNA binding
GO:0001069	regulatory region RNA binding
GO:0001070	RNA-binding transcription regulator activity
GO:0001072	transcription antitermination factor activity, RNA binding
GO:0001073	transcription antitermination factor activity, DNA binding
GO:0001079	nitrogen catabolite regulation of transcription from RNA polymerase II promoter
GO:0001080	nitrogen catabolite activation of transcription from RNA polymerase II promoter
GO:0001081	nitrogen catabolite repression of transcription from RNA polymerase II promoter
GO:0001085	RNA polymerase II transcription factor binding
GO:0001091	RNA polymerase II general transcription initiation factor binding
GO:0001092	TFIIA-class transcription factor complex binding
GO:0001093	TFIIB-class transcription factor binding
GO:0001094	TFIID-class transcription factor complex binding
GO:0001095	TFIIE-class transcription factor complex binding
GO:0001096	TFIIF-class transcription factor complex binding
GO:0001097	TFIIH-class transcription factor complex binding
GO:0001098	basal transcription machinery binding
GO:0001099	basal RNA polymerase II transcription machinery binding
GO:0001100	negative regulation of exit from mitosis
GO:0001101	response to acid chemical
GO:0001102	RNA polymerase II activating transcription factor binding
GO:0001103	RNA polymerase II repressing transcription factor binding
GO:0001109	promoter clearance during DNA-templated transcription
GO:0001111	promoter clearance from RNA polymerase II promoter
GO:0001112	DNA-templated transcriptional open complex formation
GO:0001113	transcriptional open complex formation at RNA polymerase II promoter
GO:0001120	protein-DNA complex remodeling
GO:0001121	bacterial transcription
GO:0001123	transcription initiation from bacterial-type RNA polymerase promoter
GO:0001134	transcription regulator recruiting activity
GO:0001135	RNA polymerase II transcription regulator recruiting activity
GO:0001139	RNA polymerase II complex recruiting activity
GO:0001147	transcription termination site sequence-specific DNA binding
GO:0001155	TFIIIA-class transcription factor binding
GO:0001156	TFIIIC-class transcription factor complex binding
GO:0001158	enhancer sequence-specific DNA binding
GO:0001160	transcription termination site DNA binding
GO:0001161	intronic transcription regulatory region sequence-specific DNA binding
GO:0001162	RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding
GO:0001163	RNA polymerase I regulatory region sequence-specific DNA binding
GO:0001164	RNA polymerase I CORE element sequence-specific DNA binding
GO:0001165	RNA polymerase I upstream control element sequence-specific DNA binding
GO:0001172	transcription, RNA-templated
GO:0001173	DNA-templated transcriptional start site selection
GO:0001174	transcriptional start site selection at RNA polymerase II promoter
GO:0001178	regulation of transcriptional start site selection at RNA polymerase II promoter
GO:0001179	RNA polymerase I general transcription initiation factor binding
GO:0001181	RNA polymerase I general transcription initiation factor activity
GO:0001186	RNA polymerase I transcription regulator recruiting activity
GO:0001188	RNA polymerase I preinitiation complex assembly
GO:0001192	maintenance of transcriptional fidelity during DNA-templated transcription elongation
GO:0001193	maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter
GO:0001195	maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase III promoter
GO:0001196	regulation of mating-type specific transcription from RNA polymerase II promoter
GO:0001197	positive regulation of mating-type specific transcription from RNA polymerase II promoter
GO:0001198	negative regulation of mating-type specific transcription from RNA polymerase II promoter
GO:0001207	histone displacement
GO:0001208	histone H2A-H2B dimer displacement
GO:0001216	DNA-binding transcription activator activity
